"HASH_1B09B600": "A doprdele."
"HASH_3A31042F": "Troyi, v rámci zachování ekosystému je občas zapotřebí založit nějaký ten lesní požár - to bys měl vědět líp než kdo jiný. Tak doufám, že mi o sobě dáš brzy vědět."
"HASH_32213030": "Sakra!"
"HASH_79A7E230": "Ok, a koho to zajímá?"
"BFPLAYER_SWEEP_REDLIGHT_4": "Tak zavolej poldy."
"HASH_320C0C30": "Jsem v pohodě, co se děje?"
"HASH_94D9F030": "Co bych po tobě asi tak mohl chtít? Seber pár chlapů a pobijte je!"
"HASH_474C6231": "Sakra!"
"HASH_8A65C031": "Dobře. (mluví k přítomným) Až tady skončíme, tak si promluvte s jedním z těchhle... Dají vám nějakou práci. Přišel náš čas, tak se do toho kurva dejte."
"HASH_26517231": "Proboha, tak už kurva chcípni..."
"HASH_8EB96A31": "Vážně čekáš, že si vezmu 20 a ještě poděkuju?"
"HASH_5CADF431": "Přestaň, buď od tý lásky. Seženu ty zatracený panny."
"HASH_2C1F9231": "Neboj, nezabiju tě."
"BMPLAYER_HIJACKING_DOCKS_2": "Ale no tak, jsem jenom chudák oběť, kterou chtějí ukřižovat."
"HASH_554D2831": "Měla jsem Ultor mnohem radši, když vyráběli jen hadry."
"HASH_88510231": "Už jsem ti říkala, že můj ex je pěknej kretén?"
"HASH_05284031": "Prosím, pusťte mě ven!"
"HASH_EC828E31": "Budu..."
"HASH_B65FFA32": "Vlastnoručně jsem ho podříznul."
"HASH_64B37832": "Jdu do toho."
"HASH_8B30F032": "Do hajzlu, jestli vím..."
"HASH_3E4FFC32": "Co je?"
"HASH_CCE4E232": "Výkřiky."
"HASH_9A016C32": "Tak co je?"
"HASH_55D0C032": "Ta loď se na pobřeží nikdy nedostane."
"HASH_B0BCDC32": "Stilwaterská univerzita... ráj vzdělání, nebo státem financované opiové doupě?"
"HASH_C332A833": "Vlastnoručně jsem ho podříznul."
"HASH_72440C33": "Takže mám práci?"
"HASH_51592C33": "Z někoho určitě půjde dostat ty správný informace. Co třeba Donnie?"
"HASH_BC957234": "To jen dokazuje, že jsi dost pitomej, aby sis nechal vrazit kudlu do zad..."
"HASH_24FB6C34": "Kde najdu ostatní Svatý..."
"BFPLAYER_DRUG_HOTELS_6": "No ne, nejsi ty ten velký zlý drogový dealer?"
"HASH_33603C34": "Hotovo, je čas vypadnout."
"HASH_9CC4CC34": "Bylo by to mnohem rychlejší..."
"HASH_40871434": "Tak mě překvap a prozraď mi, jak toho generála můžem sundat."
"MONICA_CLNSWEEP_REDLGT_4": "Řekla jsem, že chci spravedlnost..."
"HASH_43D54035": "Ale hovno utíkaj, sebereme tamten vozík.."
"HASH_0E1FF235": "Proč se scházíme v nadzemce?"
"HASH_8538C635": "Ujednáno."
"HASH_ACB90A35": "Carlosi, kde kurva vězíš?"
"BFPLAYER_ESCORT_SUBURBS_4": "Proč to neuděláš?"
"HASH_35EA4635": "Tak mě překvap a pověz mi, jak se zbavíme Generála..."
"HASH_777AE235": "Zahoď to."
"HASH_4C1A2435": "Takže mám práci?"
"HASH_E9A99E35": "Mělo by to bejt o dost rychlejší."
"LI_GUARDIAN_CTOWN_4": "Nechci, abys je zabíjel."
"HASH_416CBA35": "Mlč a poslouchej. Gat hledal šéfa japonskýho podsvětí, který si říká Akudži. Ten se má prý brzo objevit ve městě a já chci vědět, kdy to bude."
"HASH_A22F4C35": "Kdo kurva seš?"
"BLAKE_TORCH_APTS_1": "Díky že ses zastavil... Bratři z Théty si toho váží."
"HASH_59D02235": "...a ti, kdo o těchto programech vědí, z toho mají peníze."
"WFPLAYER_FUZZ_PROJ_1": "Co se děje, Lee?"
"BFPLAYER_FRAUD_FACTORIES_3": "Copak jsi zrovna neřekl, že Gonzalese zabásli? Proč bys chtěl zkoušet stejnou věc?"
"HASH_652A8C36": "To slýchám často..."
"WMPLAYER_FUZZ_PROJ_3": "Nechat se mlátit kvůli tvým klientům se mi moc nezamlouvá."
"HASH_A847D636": "Opatrně, doktore, tenhle pacient je nebezpečný."
"HASH_2F9CA036": "Někdo to musí vzít na sebe."
"HASH_3D5CC036": "Osvobodíš všechny zajatý členy Bratrstva."
"HASH_297B9236": "A doprdele..."
"HASH_5622E037": "To není dobrý."
"HASH_3313DE37": "Dobrý nápad"
"HMPLAYER_FIGHT_UNIV_2": "Myslím, že tvůj doktor měl dobrej nápad."
"HMPLAYER_FIGHT_PRISON_4": "Manželství s hlídačovou dcerou?"
"HASH_6A1AF437": "přišel... navštívit..."
"HASH_19D0BE38": "Kde to jsem?"
"WMPLAYER_ESCORT_SUBURBS_4": "Proč to neuděláš?"
"HMPLAYER_DRUG_HOTELS_2": "To si děláš prdel."
"HASH_4E85DC38": "Náš odvoz."
"HASH_B226CE39": "Vypadá to, že Roninové chystají nějaký kšeft. Nevím, koho nebo co to převážejí, ale podle toho, jak pečlivě to hlídají, to bude něco fakt velkýho. Cestou k molu budeš muset zlikvidovat dvoje stráže, takže na tvým místě bych si vzal sniperku a sundal ty grázly pěkně zdálky.\n19000"
"HASH_6CBDEC39": "Kde to jsem?"
"HASH_273B3E39": "ehm..."
"BFPLAYER_FRAUD_MUSEUM_2": "Možná se s ničím nepářu, ale neřekl bych, že dokážu změnit, co si celá branže myslí o pohlaví."
"HASH_A5857039": "Jdu do toho."
"WMPLAYER_DRUG_HOTELS_2": "To si děláš prdel."
"HASH_FF79F439": "Co je?"
"BMPLAYER_FUZZ_PROJ_5": "Díky že mi nekritizuješ práci."
"HASH_20551039": "Já nevím, tři kila? Dvě na vědu, jedno na víkend?"
"HASH_89ABB639": "Toto je Shivington. Z kdysi příjemného sídliště se nyní stalo nebezpečné ghetto, kam se slušný člověk neodváží. Teď si jistě někteří z vás říkají: hnusné baráky, všude špína - co si sakra ten Ultor myslí? Ale já pravím: přátelé, my myslíme na budoucnost! Jen si to představte: skleněné věžáky, čisté ulice, nemusíte se bát, že vám někdo ukradne auto... Myslíte, že je to nemožné? Pro menší společnost možná, ale Ultor má prostředky i moc zlepšovat tento svět, a také se o to stále snaží. Já jsem na rozdíl od politiků - nic ve zlém - nepřišel dávat plané sliby ani mlhavé prognózy."
"HASH_8518AC39": "Chtěl jsem se dostat z tý zatracený stoky..."
"HASH_76323A39": "Troy řekl, že ho neodpojí."
"HASH_A7C86639": "Dobrý den. Co pro vás mohu udělat?"
"BMHAZ_MAYHEM_NUKE_4": "Řekl jsem, že podle nich není bezpečná."
"WFPLAYER_DERBY_ARENA_1": "No promiň?"
"HASH_DB8ED63A": "O čem to mluvíme? Zbraně? Drogy?"
"HASH_D628A63A": "Ty jsi neslyšel tu část o velení pomocí násilí?"
"HASH_ED299A3A": "Neboj, nezabiju tě."
"HASH_B7F97A3A": "Vzmuž se trochu."
"HASH_A1E47E3A": "Haló?"
"HASH_82A7423A": "Tiše kňučí a pláče."
"HASH_4DC2323B": "Jo."
"HFPLAYER_DERBY_ARENA_1": "No promiň?"
"HASH_9C45DA3B": "Je mrtvej a ty ne, takže bych řekl, že je to sakra dobrý."
"HASH_7639BC3B": "Carlos mi pomohl zdrhnout z lapáku, vypadá jako dobrej kluk, ale budem potřebovat víc lidí... co říkáš?"
"HASH_EE57A23B": "Poslouchejte, musíme něco probrat, a je to sakra důležitý. Svatí kdysi měli pod palcem celý Stilwater, ale teď to vypadá, že jediný, kdo si to pamatuje, je Gat a já. A já myslím, že je čas se dát zase dohromady a ukázat ostatním, že ještě nejsme mrtví."
"HASH_C49DB03B": "Já jsem tady..."
"HASH_FD94063B": "Nemyslel jsem, že přijdeš."
"HASH_829CC03B": "Já to vyčistim!"
"HASH_9215943B": "Pane Akudži, snad ani nemusí zdůrazňovat, jak nemoudré by to mo-"
"MIKEY_FIGHT_UNIV_1": "Zatraceně!"
"HASH_5891AA3B": "Byl to tajný agent!"
"HASH_50832E3C": "Mohl bych tě zabít hned teď..."
"WFPLAYER_FIGHT_PRISON_1": "Moc se nevzrušuj, dlouho tady nezůstanu."
"HASH_F225D63C": "Dobrej nápad"
"HASH_EBDB423C": "Proč jsi šel k Roninům, a ne k nám?"
"BMPLAYER_FIGHT_UNIV_2": "Myslím, že tvůj doktor měl dobrej nápad."
"HASH_8013E43C": "Promiň, holka, ale nikdo s kapkou sebevědomí si nehraje s hakysákem. Proč necháváš rozhodovat tu rozleskávačku, a ne mě?"
"HASH_4942223C": "Kdo je tady šéf? Ty? Výborně, zaveď mě k trezoru. A pohni sebou."
"HASH_86F4D63C": "Tomu nebudeš věřit."
"HASH_76969A3C": "Posral ses? Všechny nás odprásknou."
"HASH_7A67B03D": "Je to pěkná díra."
"WMPLAYER_SWEEP_REDLIGHT_4": "Tak zavolej poldy."
"HASH_6D8F023E": "Carlosi, kde kurva vězíš?"
"BFPLAYER_SNATCH_CTOWN_1": "To jako pro dnešek končíš?"
"HASH_70847E3E": "Teď velím Svatým."
"HASH_EF08503E": "Kde je Gat?"
"HASH_B4431E3F": "Měli tě poslechnout."
"BFPLAYER_SNATCH_DTOWN_4": "To jen zna-"
"HASH_9A65023F": "Kde je Gat?"
"HASH_0DA0083F": "Čas k odchodu?"
"HASH_2056B23F": "Nejsem žádnej zasranej správce."
"HASH_B6905C3F": "Donnie, bacha!"
"HASH_F782A040": "Co máš?"
"HASH_E2194C40": "Není zač, a teď se zvedej, musíme chytit tu limuzínu."
"HASH_DD196240": "Vůbec ne."
"HASH_75DC4640": "Pierci, dal jsem ti na starosti Roniny, tak co bys ještě chtěl?"
"BMPLAYER_ANGEL_HIGHEND_6": "Moment, oni tě chtěj za-"
"BMPLAYER_ANGEL_CTOWN_1": "Řek ti Wong i to, že zadarmo nepracuju?"
"HASH_2D042C40": "To je ono?"
"HASH_15459A40": "Jestli mě okradl, musíme mu dát lekci..."
"HASH_5A381241": "Na to jsi měl myslet, než jsi poslal svý lidi zlikvidovat můj gang."
"HASH_A8743041": "Vůbec ne."
"HASH_82EFF241": "Co máš?"
"HASH_97741E41": "Není zač, a teď se zvedej, musíme chytit tu limuzínu."
"HASH_61813841": "Nechceš si sednout?"
"HASH_D5CD5C41": "Fakt? Tak proč jsi ještě tady?"
"HASH_4DA34241": "Šmarjá, kdy se to stalo?"
"HASH_67695041": "Ale jak říkám, nemůžu na to přijít, ale vím o někom, kdo to dokáže."
"HASH_10847641": "Hele, upřímně řečeno jsem byla úplně sjetá."
"HASH_F9AB5041": "Copak ty nechceš vědět, kdo to poslal?"
"HASH_BA245E42": "Máš pravdu, jsi idiot."
"HFPLAYER_FIGHT_PRISON_2": "Budu ti věřit."
"HASH_92BFA842": "Že jsem to tady už vybral, neznamená, že můžeš mít takový blbý kecy..."
"HASH_DA140442": "Vypadá to, že si uděláš pár nových přátel. Maerovi dorazí na lodi zásilka a já ji chci mít dřív než on."
"HASH_73D15642": "Tvoji kamarádi se měli víc snažit."
"HASH_D177AE42": "Já počítám, že si vezmu 80."
"HASH_979A8E42": "Je tu někdo, kdo byl zraněn a potřebuje právníka?"
"HASH_0C72A243": "Vyber si."
"HASH_CF490C43": "Máš pravdu, jsi idiot."
"HASH_19FB2C43": "Všichni poslouchejte, musíme probrat pár zatraceně důležitých věcí. Stilwater patřil kdysi Svatým a vypadá to, že já s Gatem jsme jediný, co se na to pamatujou... řekl bych, že je čas, abysme ostatním dali budíček."
"HASH_61605C43": "K věci."
"HASH_37892C43": "Doprdele..."
"HASH_AF795643": "Asi si budeš muset najít nový kámoše - Maerovi má lodí dorazit nějakej náklad a já ho chci dostat dřív než on."
"HASH_5C8D1443": "Vidím ti až do žaludku."
"HASH_43D8D443": "Na tu soutěž bude připravenej."
"HASH_6DC2C843": "Co je?"
"HASH_69B1CC43": "Co se stalo, Jyunichi?"
"HASH_3F544243": "No, není to zrovna nejjednodušší způsob, ale rozhodně nejrychlejší - a krom toho budu jít s váma."
"HASH_C732EA43": "Zpátky! KURVA ZPÁTKY!"
"HASH_423B2C43": "Co se děje?"
"WMPOR_DEMO_DERBY_3": "Nečil se, chlape, jen to říkám tak, jak to je. Ten turnaj vyhraju já a ty s tím nemůžeš udělat ani prd."
"BMPLAYER_CROWDCONT_HOTELS_1": "Tohle slýchám poslední dobou často."
"PIERCE_HELI_ASSAULT_CUT_01": "Chci začít přesouvat nějaký věci přes čtvrť Barrio, ale Synové Samediho to tam moc dobře hlídaj. Jakmile je odklidíme z cesty, budeme se muset starat jen o to, aby Bratrstvo zaujalo jejich místo. Doufám, že umíš lítat s helikoptérou."
"HASH_09EC2444": "Překvapuje mě, že máš odvahu přijít sám..."
"HASH_39D13644": "Nech si kulku pro Akudžiho."
"HASH_90BF6844": "Myslel jsem, že jsem tvýho starýho oddělal."
"HASH_E4399444": "No tak, hraj fér."
"HASH_32616E45": "Co se kurva děje?"
"HASH_72CE8445": "Většina lidí jenom hulí trávu."
"HASH_38E32C45": "Hej, Shaundi?"
"HASH_9842B045": "To nebude problém."
"HASH_4CBC6445": "Šetři kulky pro Akudži."
"HASH_E5D23A45": "Já myslel, že jsem tvýho ex oddělal."
"HASH_22F8BC45": "Myslím, že mám nápad."
"HASH_002A7C45": "Provoz."
"HASH_D2F49C45": "No to mě poser, takhle s těma Roninama pořádně vyjebeme."
"HASH_F377CE46": "Jessico, jak se ti líbí Maerovo nové tetování?"
"HASH_51D13646": "Proč se díváš jinam?"
"HASH_7477C846": "Díky za pomoc, Lauro."
"HASH_14C1A246": "Naše šance? Kdo si sakra myslíš, že jsi?"
"HASH_5F477046": "A pak to prodáme za levnějc a zaberem jim celej trh."
"HASH_C6E83E46": "Škoda."
"HASH_B9411846": "Wong."
"HASH_61ACF047": "Naše příležitost? Kdo sakra jsi..."
"HASH_011A9A47": "Dík za pomoc, Lauro."
"HASH_E3F21647": "Já si sakra budu dělat, co chci, to je jedna z výhod šéfa gangu."
"HASH_7C119447": "Jo, už jsou pryč pěkně dlouho, snad bych mohl-"
"HASH_3F30D848": "Dobře."
"HFPLAYER_MAYHEM_NUKE_4": "Cože?"
"HFPLAYER_ESCORT_REDLIGHT_3": "Peníze na ruku stačí."
"HASH_ACF4C048": "Co je?"
"HASH_8B518048": "Určitě musíme těm sráčům připomenout, kdo jsme."
"HASH_9DBB1C48": "Vidím ti až do žaludku."
"HASH_7FF4FC48": "Agresivně křičí."
"HASH_5387D448": "Nijak... Jestli jsem se od svého muže něco naučila, tak to, že nesmíme dovolit, aby nás násilí nějak omezovalo. Ti Svatí ze Třetí ulice chtějí způsobit chaos, a jakmile kvůli strachu nějak změníme způsob života, jen jim dáme větší sílu."
"HASH_188E6848": "Překvapivou událostí je, že dnes bylo propuštěno několik členů Bratrstva."
"HASH_4A5D8A49": "Dobře."
"WFPLAYER_MAYHEM_NUKE_4": "Cože?"
"HASH_1041A649": "Já počítám, že si vezmu 80."
"HASH_11143E49": "Najdem si novej domov?"
"HMPLAYER_ESCORT_SUBURBS_4": "A proč to neuděláš?"
"HASH_AFF43649": "Když se přiblížili Roninové, vyrazil proti nim do boje."
"HASH_5C8C4249": "Shogo vysvětluje otci, proč jsme selhali."
"HASH_4D96084A": "Jak víš, že mě ten pitomec nechce zabít?"
"HASH_52EE7E4A": "Dobře, padáme odsud..."
"WFPLAYER_TORCH_APTS_4": "Ale jo."
"HASH_91D5D04A": "Boxer, přesně to jsem vždycky chtěl..."
"HASH_DA53024A": "Věř mi, Gat bude za chvíli v pohodě. "
"HASH_3910F44A": "Nechce se mi věřit, že ti nakopal zadek takový břídil..."
"HASH_DD1B304A": "Cože?"
"BMPLAYER_SNATCH_DTOWN_2": "Jak ti to vychází?"
"WMUM_FIGHTCLUB_PRISON_7": "Nic, s čím by sis neporadil..."
"HASH_E4B8824B": "Boxer, přesně to jsem vždycky chtěl."
"HASH_38FB5A4B": "Jak víš, že mě ten pitomec nechce zabít?"
"HASH_26BA404B": "Pálí ti to."
"HASH_9901EE4B": "Jsi v pohodě, Johnny?"
"HASH_016FF04B": "Kurva fix."
"HASH_19DC504B": "Jako co?"
"HASH_2725E64B": "Dávejte si pozor na jazyk, pane Gate!"
"HASH_3F0F3A4C": "Aha..."
"HASH_BB4EE64C": "Víš co, Pierci? Jestli se chceš blejsknout, tak vyhoď do luftu pár vrtulníků a my tě tu přivítáme s otevřenou náručí."
"HMPLAYER_SWEEP_REDLIGHT_4": "Tak zavolej poldy."
"BMPLAYER_FRAUD_MUSEUM_4": "Tak ty se prý chystáš na příliv nových pacientů. Z toho soudím, že asi budu muset pár lidem pošramotit ciferník."
"HASH_4A62684D": "Aha."
"HASH_90E73E4D": "Proč se díváš jinam?"
"HASH_CE23B44D": "Víš, co, Pierci, jestli chceš vidět, jak vyhodím do povětří pár helikoptér, tak klidně pojď se mnou."
"HASH_4C7D524D": "To si děláš prdel."
"HASH_5972544D": "Tak co teď budem dělat?"
"HASH_5B73DC4E": "Navrhuju, abys zavřel hubu, než ti udělám nějakou trvalejší výzdobu."
"HASH_1F61924E": "Dobrý nápad, prostě si řeknem o pomoc: (Pohlédne na mrtvé tělo) Hej, kámo, helpneš nám? Ne? (Obrátí se na Gata) Vypadá to, že jsme na to sami."
"HASH_B3F88C4E": "Většina lidí jenom hulí trávu."
"HASH_F9D5244E": "Hej, Shaundi?"
"HASH_3F302C4E": "Musíme tě hodit do nemocnice..."
"HASH_DC73DA4E": "Ne, jsem v pohodě."
"WMPLAYER_ESCORT_REDLIGHT_3": "Peníze na ruku stačí."
"HASH_249A1C4E": "Dobrej nápad."
"HASH_51EB304E": "Prosím?"
"HASH_4BB6D04E": "Díky, Shaundi."
"HASH_F9961C4E": "Zlato, mám tam někoho poslat, ať se o to postará?"
"HASH_8B743E4E": "Později."
"WFSOR1_HIJACKING_FACTORIES_2": "Dobrý den. Právě máme schůzi."
"HASH_ADEB124F": "Dobrá práce, Shaundi."
"HASH_C8DA2C4F": "Překvapuje mě, že máš odvahu přijít sám."
"HFPLAYER_MAYHEM_SHANTY_1": "Kdo?"
"HASH_2486624F": "Prosím?"
"WMPLAYER_FIGHT_UNIV_1": "Co se děje?"
"HASH_4A5D7E4F": "Musíme tě dostat do špitálu."
"HASH_A91E884F": "Ne, mně se líbí tady."
"HASH_B2D6F84F": "Ty obchoduješ s nafukovacíma sexuálníma pomůckama?"
"HASH_01DBAC4F": "Dokud to budem moct vyrábět my, tak v tom může pro mě za mě bejt třeba sajrajt na balzamování..."
"HASH_CF6EE04F": "Jéžiš!"
"HASH_9D02184F": "Jak je, Shaundi..."
"HASH_58ABA250": "No tak. Ber to sportovně"
"HASH_EB07D850": "Něco mě asi napadlo..."
"HASH_85EEA850": "To je dobrý, Pierci..."
"HASH_85430050": "Nech si kulku pro Akudžiho."
"HASH_2C2D5E50": "Myslel jsem, že jsem tvýho starýho oddělal."
"WMPLAYER_FIGHT_PRISON_3": "pořádná šance, že tě někdo sejme nožem..."
"HASH_172C6250": "To se nebojíš vylézt jen tak ven?"
"HASH_0879A250": "Jak jsi věděl, že tu budu?"
"HASH_14486650": "Jak se vede rodině?"
"HASH_4DFC8250": "Zabiju tě hned tady a teď."
"HASH_4CB48250": "Proč mi to nepovíš..."
"HASH_9E6A8A51": "Něco mě asi napadlo..."
"HASH_B7C7CA51": "Jenom se postarej, abych se dostal k Vogelovi."
"HASH_2DC6F051": "No tak. Ber to sportovně"
"HASH_8C3C4451": "Jsi překvapená, Aisho?"
"HASH_14525A51": "Měl jsi mě u striptérský tyče."
"HASH_78993851": "To kurva ne, Aisha moc ven nechodí, ale má ráda společnost."
"HASH_1FE3AC51": "Takže spekulace, že právníky Bratrstva platí Ultor, jsou neopodstatněné?"
"HASH_E3D54652": "A pak to budem prodávat levnějc a přeberem jim kšeft."
"HASH_2A0D7252": "Můžu si doprdele dělat, co chci, to je jedna z výhod, když člověk vede gang."
"HASH_67484452": "Musíme si najít novej flek?"
"HASH_21D78452": "K věci."
"HASH_C8E5FE52": "Díky za pomoc, Lauro."
"BMPLAYER_SNATCH_CTOWN_3": "Žádný holky? A kvůli tomu seš mimo hru?"
"HASH_5F602053": "Můžu si doprdele dělat, co chci, to je jedna z výhod, když člověk vede gang."
"HASH_5583BA53": "No, když pěkně poprosíme, tak určitě."
"HASH_96B81453": "A pak to budem prodávat levnějc a přeberem jim kšeft."
"HASH_DD3EC653": "Naše příležitost? Kdo sakra jsi..."
"HASH_69D02E53": "Máš tu někde loď?"
"BMPLAYER_SNATCH_DTOWN_6": "Snažím se jen říct, že máš spoustu práce a nemůžeš dávat pozor na každýho. Tak co kdybych ti ty tvý ztracený holky našel já?"
"BMPLAYER_ESCORT_REDLIGHT_1": "Víš, co je pro gang nejdůležitější? Furt točit prachy."
"WMUM_FIGHTCLUB_PRISON_3": "No fakt. Máš čerstvý vzduch, tři čtvereční metry, neplatíš činži..."
"HASH_4D0FAC54": "A řekl ti Wong taky, že zadarmo nedělám?"
"HASH_978AFA54": "Snaž se víc."
"HASH_ECE88E54": "Začíná to být čím dál lepší."
"HASH_C94E7054": "Pierci, dal jsem ti na starosti Roniny, tak co bys ještě chtěl?"
"HMPLAYER_MAYHEM_SHANTY_1": "Kdo?"
"HASH_A9C9A854": "Fajn, můžem nadělat trochu paseku v ulicích, ale musíme sebou hodit - nechci Ultory varovat víc, než je nutný."
"HASH_4B109654": "Tak copak tu máš?"
"HASH_5E8B7A54": "Rádo se stalo. A teď vstávej, musíme chytit tu limošku."
"HASH_3862FE55": "A řekl ti Wong taky, že zadarmo nedělám?"
"HASH_05B16E55": "To si ze mě snad děláš srandu."
"HASH_BC232255": "Pierci, dal jsem ti na starosti Roniny, tak co bys ještě chtěl?"
"HASH_14E60655": "Není zač."
"BMPLAYER_FUZZ_SUBURBS_4": "Jako \"dobrý záběry\" ze zatýkání, nebo zmlácení polonahýho týpka, co skončí v dětským bazénu."
